Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
23/122,2023-10-31,4,33,35,36,41,49,1,33,1,5,4,2,1,0,0,3,2,1,57679340.00,6.5,1009190.00,163.5,106980.00,409,9600.00,8266.7,640.00,14912.1,320.00,165991.6,40.00,127195633
23/121,2023-10-26,11,16,27,32,33,37,24,,2,4,4,2,0,2,1,3,0,1,15461650.00,0,0.00,117,43570.00,186.2,9600.00,4559.5,640.00,5396.7,320.00,74119,40.00,43341115
23/120,2023-10-24,19,20,29,45,48,49,8,,2,4,4,2,0,2,1,0,3,0,0.00,0,0.00,45.5,101140.00,128.5,9600.00,3030.5,640.00,4285.7,320.00,52564,40.00,35723268
23/119,2023-10-21,6,8,12,31,32,46,4,32,3,3,1,5,2,1,0,2,1,1,30402240.00,1.5,1310280.00,144.5,36270.00,366.5,9600.00,7459.4,640.00,9828.1,320.00,114297.5,40.00,56311109
23/118,2023-10-19,1,13,18,32,34,49,44,"18,34",3,3,3,3,1,2,0,2,1,0,0.00,1,2520000.00,65.5,102590.00,166.5,9600.00,4059.1,640.00,4746.5,320.00,77375.6,40.00,50503187
23/117,2023-10-17,8,18,24,34,41,42,31,42,3,3,1,5,1,1,1,1,2,0,0.00,2,1149860.00,80,76650.00,169.5,9600.00,3883.5,640.00,4524,320.00,71101.7,40.00,46763407
23/116,2023-10-14,1,29,31,42,47,48,40,31,1,5,4,2,1,0,1,1,3,0,0.00,1,2015580.00,36.5,147250.00,102,9600.00,2161.5,640.00,2840,320.00,45461.8,40.00,36770451
23/115,2023-10-12,2,13,23,28,30,31,3,23,3,3,3,3,1,1,3,1,0,0.5,2000000.00,4,348470.00,85,43730.00,282.4,9600.00,3438.5,640.00,7994.7,320.00,62308.6,40.00,37359399
23/114,2023-10-10,1,12,22,23,34,39,30,12,4,2,3,3,1,1,2,2,0,1,8000000.00,0.5,425937.50,65,69890.00,178,9600.00,3748,640.00,4814.3,320.00,65323.3,40.00,38412506
23/113,2023-10-07,4,9,12,36,43,47,26,,3,3,3,3,2,1,0,1,2,1,13755970.00,0,0.00,62,82520.00,163.5,9600.00,3270.5,640.00,5157.9,320.00,65967.7,40.00,40755656
23/112,2023-10-05,2,11,20,29,41,49,45,,3,3,4,2,1,2,1,0,2,0,0.00,1,1891330.00,53,95160.00,105,9600.00,2945,640.00,2990,320.00,57673,40.00,37060046
23/111,2023-10-03,8,16,32,39,40,43,29,8,2,4,2,4,1,1,0,3,1,1.5,47871870.00,2.5,2171150.00,158.4,91370.00,344.5,9600.00,9110.2,640.00,11142.7,320.00,152929.5,40.00,108491306
23/110,2023-09-30,6,8,11,26,35,47,1,,3,3,3,3,2,1,1,1,1,0,0.00,5.5,725950.00,169,63000.00,527,9600.00,9254.6,640.00,16550,320.00,171838.6,40.00,97041946
23/109,2023-09-28,9,12,30,31,45,48,46,,2,4,3,3,1,1,1,1,2,0.5,21772940.00,3.5,2580160.00,269.5,89350.00,634,9600.00,15689.2,640.00,19580,320.00,300332.5,40.00,186230621
23/108,2023-09-23,3,27,28,35,44,46,12,"28,46",1,5,3,3,1,0,2,1,2,0,0.00,2,1607830.00,83.5,102690.00,253.5,9600.00,4619.2,640.00,7588.1,320.00,88193,40.00,64636741
