期數,日期,中獎號碼 1,2,3,4,5,6,特別號碼,上期出現號碼,小,大,單數,雙數,1-10,11-20,21-30,31-40,41-50,頭獎 中獎注數,頭獎 每注獎金,二獎 中獎注數,二獎 每注獎金,三獎 中獎注數,三獎 每注獎金,四獎 中獎注數,四獎 每注獎金,五獎 中獎注數,五獎 每注獎金,六獎 中獎注數,六獎 每注獎金,七獎 中獎注數,七獎 每注獎金,八獎 中獎注數,八獎 每注獎金
112000100,2023-11-03,8,20,24,28,40,48,3,,3,3,0,6,1,1,2,1,1,0,0.00,1,1552568.00,35,47771.00,95,11314.00,1772,2000.00,2704,1000.00,26791,400.00,30709,400.00
112000099,2023-10-31,2,10,18,36,42,47,24,,3,3,1,5,2,1,0,1,2,0,0.00,2,711588.00,113,13563.00,87,11325.00,2583,2000.00,2344,1000.00,23076,400.00,32681,400.00
112000098,2023-10-27,6,15,22,27,28,31,24,,3,3,3,3,1,1,3,1,0,0,0.00,1,1471598.00,29,54648.00,91,11195.00,1864,2000.00,2446,1000.00,23225,400.00,32223,400.00
112000097,2023-10-24,7,29,34,41,43,49,22,,1,5,5,1,1,0,1,1,3,0,0.00,1,1589359.00,36,47544.00,86,12794.00,1769,2000.00,2502,1000.00,24086,400.00,29895,400.00
112000096,2023-10-20,32,37,38,39,40,44,24,,0,6,2,4,0,0,0,5,1,0,0.00,2,1185135.00,39,65451.00,97,16917.00,2050,2000.00,2455,1000.00,25773,400.00,34789,400.00
112000095,2023-10-17,5,12,13,20,24,34,27,13,5,1,2,4,1,3,1,1,0,1,195473611.00,1,2013785.00,44,49288.00,128,10891.00,2571,2000.00,3654,1000.00,34477,400.00,45342,400.00
112000094,2023-10-13,1,9,13,14,28,30,31,,4,2,3,3,2,2,2,0,0,0,0.00,1,5981222.00,51,41410.00,150,9051.00,2768,2000.00,3720,1000.00,31736,400.00,46496,400.00
112000093,2023-10-10,3,8,17,33,34,48,11,,3,3,3,3,2,1,0,2,1,0,0.00,0,0.00,41,51494.00,121,11216.00,2247,2000.00,3329,1000.00,34808,400.00,40400,400.00
112000092,2023-10-06,6,16,21,27,30,49,26,,3,3,3,3,1,1,3,0,1,0,0.00,0,0.00,38,58371.00,97,14700.00,1992,2000.00,2740,1000.00,28857,400.00,37176,400.00
112000091,2023-10-03,3,22,29,31,40,44,48,,2,4,3,3,1,0,2,2,1,0,0.00,1,2469814.00,49,54281.00,96,17811.00,2213,2000.00,2626,1000.00,26329,400.00,40118,400.00
