,RaceDate,RaceNo,Venue,Class,Going,Course,Place,HorseName,Jockey,Trainer,ActWeight,HorseWeight,Draw,FinishTime,WinOdd,Dividend,RaceMonth
90,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",13,SUPREME LUCKY,Y L Chung,C S Shum,112,1210,13,1:21.37,92,0,11
91,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",14,HARMONY GREAT,M L Yeung,C S Shum,115,1035,1,1:22.72,161,0,11
92,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course", 1,STRATHPEFFER,L Hewitson,D J Whyte,121,1020,2,1:21.43,10,28.50,11
93,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",2,LEGEND ST PAUL'S,K C Leung,F C Lor,129,1227,1,1:21.44,3.2,15.50,11
94,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",3,FASHION LEGEND,A Atzeni,D Eustace,132,1073,5,1:21.76,12,32.50,11
95,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",4,YOU'REMYEVERYTHING,K Teetan,C W Chang,121,1000,8,1:21.81,25,0,11
96,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",5,NEBRASKAN,B Avdulla,J Size,132,1047,3,1:22.06,22,0,11
97,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",6,JUBILANT WINNER,Z Purton,J Richards,130,1142,12,1:22.08,3.9,0,11
98,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",7,GOLD MASTER,C Y Ho,K L Man,128,1039,11,1:22.27,30,0,11
99,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",8,RUN RAN RUN,M Chadwick,W K Mo,135,1144,7,1:22.39,70,0,11
100,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",9,SUNNY DA BEST,K De Melo,W Y So,134,1158,4,1:22.57,12,0,11
101,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",10,QINGYUAN STAR,C L Chau,T P Yung,124,1144,13,1:22.67,153,0,11
102,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",11,FIGHT TIME,A Badel,D J Hall,119,1059,6,1:22.76,4.8,0,11
103,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",12,DEAL COMPLETED,H Bentley,K H Ting,129,1272,10,1:23.08,25,0,11
104,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",13,SKY DEEP,L Ferraris,C Fownes,128,1234,9,1:24.67,135,0,11
105,2024/11/09,8,Sha Tin:,Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course",14,MASTER STROKE,B Thompson,C H Yip,120,1041,14,1:25.54,165,0,11
106,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",1,SAVVY BRILLIANT,Z Purton,F C Lor,125,1110,7,1:08.55,2.5,14.00,11
107,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course", 2,SUPER INFINITY,H Bentley,M Newnham,119,1143,2,1:08.61,4.4,13.50,11
108,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",3,STORM RIDER,K Teetan,D A Hayes,123,1113,3,1:08.64,9.4,29.50,11
109,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",4,MAGNIFICENT NINE,A Badel,J Size,117,1124,4,1:08.91,14,0,11
110,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",5,WONDERSTAR,L Ferraris,P C Ng,135,1212,12,1:09.02,126,0,11
111,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",6,AERIS NOVA,K C Leung,T P Yung,127,1268,5,1:09.02,85,0,11
112,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",7,CAPTAIN WIN,C Y Ho,P C Ng,123,1231,1,1:09.02,5.8,0,11
113,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",8,FLYING FORTRESS,M Chadwick,W K Mo,118,1027,8,1:09.12,27,0,11
114,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",9,ENTERPRISE ATTACK,A Hamelin,K W Lui,122,1102,10,1:09.20,14,0,11
115,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",10,BLESSED NATION,L Hewitson,D J Whyte,123,1139,13,1:09.31,89,0,11
116,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",11,SOLID IMPACT,P N Wong,D J Hall,119,1058,9,1:09.45,16,0,11
117,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",12,HE WAS ME,Y L Chung,A S Cruz,116,1189,11,1:09.63,123,0,11
118,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",13,CELESTIAL HARMONY,E C W Wong,D A Hayes,114,1060,14,1:09.99,226,0,11
119,2024/11/09,9,Sha Tin:,Class 3 - 1200M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",14,CHARMING BABE,M F Poon,P F Yiu,118,1107,6,1:10.31,32,0,11
120,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",1,VOYAGE SAMURAI,K C Leung,F C Lor,131,1192,4,1:33.89,2.8,14.00,11
121,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course", 2,SILO,L Ferraris,M Newnham,125,1148,6,1:34.01,5,18.50,11
122,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",3,STAR MAC,K Teetan,D A Hayes,125,1214,1,1:34.01,10,26.00,11
123,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",4,PRINCE OF PORTY,A Badel,D J Hall,120,1178,2,1:34.07,14,0,11
124,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",5,AMAZING VICTORY,C Y Ho,W Y So,119,1059,7,1:34.11,11,0,11
125,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",6,CHING,L Hewitson,C W Chang,133,1252,3,1:34.11,35,0,11
126,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",7,PRAY FOR MIR,M Chadwick,W K Mo,126,1080,8,1:34.12,17,0,11
127,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",8,FALLON,Y L Chung,A S Cruz,122,1106,9,1:34.32,17,0,11
128,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",9,VOLCANIC SPARK,M F Poon,P F Yiu,114,1093,13,1:34.32,34,0,11
129,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",10,FLAGSHIP WARRIOR,M L Yeung,C Fownes,118,1056,5,1:34.37,17,0,11
130,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",11,FUN TOGETHER,A Hamelin,T P Yung,118,1142,14,1:34.59,46,0,11
131,2024/11/09,10,Sha Tin:,Class 3 - 1600M - (80-60),GOOD TO FIRM,"TURF - ""A+3"" Course",12,SWEET ENCOUNTER,B Avdulla,J Size,129,1221,10,1:34.99,112,0,11
