RaceDate,HorseName,RestDays
2023-06-04,WIDE BLUE YONDER,14.0
2023-07-01,WIDE BLUE YONDER,27.0
2023-07-16,WIDE BLUE YONDER,15.0
2023-09-17,WIDE BLUE YONDER,63.0
2023-10-15,WIDE BLUE YONDER,28.0
2023-11-05,WIDE BLUE YONDER,21.0
2023-12-06,WIDE BLUE YONDER,31.0
2024-04-14,WIDE BLUE YONDER,130.0
2022-09-14,WILD WEST WING,999.0
2022-09-28,WILD WEST WING,14.0
2022-09-25,WILL POWER,999.0
2022-12-11,WIN MARILYN,999.0
2024-04-10,WIN SPEED,999.0
2024-05-08,WIN SPEED,28.0
2024-05-26,WIN SPEED,18.0
2024-06-15,WIN SPEED,20.0
2024-07-06,WIN SPEED,21.0
2024-09-28,WIN SPEED,84.0
2024-10-20,WIN SPEED,22.0
2024-11-17,WIN SPEED,28.0
2024-12-22,WIN SPEED,35.0
2025-01-05,WIN SPEED,14.0
2022-09-18,WIN WIN,999.0
2022-10-23,WIN WIN,35.0
2022-12-04,WIN WIN,42.0
2023-01-24,WIN WIN,51.0
2023-03-11,WIN WIN,46.0
2023-04-02,WIN WIN,22.0
2023-06-04,WIN WIN,63.0
2022-09-18,WIN WIN CHARITY,999.0
2022-10-01,WIN WIN CHARITY,13.0
2022-10-19,WIN WIN CHARITY,18.0
2022-11-27,WIN WIN CHARITY,39.0
2023-01-04,WIN WIN CHARITY,38.0
2023-03-22,WIN WIN CHARITY,77.0
2023-04-09,WIN WIN CHARITY,18.0
2023-05-10,WIN WIN CHARITY,31.0
2023-06-07,WIN WIN CHARITY,28.0
2023-07-01,WIN WIN CHARITY,24.0
2022-09-18,WIN WIN FIGHTER,999.0
2022-10-16,WIN WIN FIGHTER,28.0
2022-11-06,WIN WIN FIGHTER,21.0
2022-11-23,WIN WIN FIGHTER,17.0
2022-12-07,WIN WIN FIGHTER,14.0
2022-12-28,WIN WIN FIGHTER,21.0
2023-01-24,WIN WIN FIGHTER,27.0
2023-02-12,WIN WIN FIGHTER,19.0
2023-03-11,WIN WIN FIGHTER,27.0
2023-04-02,WIN WIN FIGHTER,22.0
2023-04-26,WIN WIN FIGHTER,24.0
2023-05-17,WIN WIN FIGHTER,21.0
2023-06-07,WIN WIN FIGHTER,21.0
2023-06-25,WIN WIN FIGHTER,18.0
2023-07-16,WIN WIN FIGHTER,21.0
2023-09-13,WIN WIN FIGHTER,59.0
2023-09-27,WIN WIN FIGHTER,14.0
2023-10-18,WIN WIN FIGHTER,21.0
2023-11-22,WIN WIN FIGHTER,35.0
2023-12-13,WIN WIN FIGHTER,21.0
2024-01-04,WIN WIN FIGHTER,22.0
2024-01-17,WIN WIN FIGHTER,13.0
2024-02-07,WIN WIN FIGHTER,21.0
2024-02-21,WIN WIN FIGHTER,14.0
2024-03-20,WIN WIN FIGHTER,28.0
2024-04-10,WIN WIN FIGHTER,21.0
2022-11-16,WIND N GRASS,999.0
2022-12-14,WIND N GRASS,28.0
2023-01-04,WIND N GRASS,21.0
2023-01-24,WIND N GRASS,20.0
2023-02-15,WIND N GRASS,22.0
2023-03-08,WIND N GRASS,21.0
2022-09-14,WIND SPEEDER,999.0
2022-10-05,WIND SPEEDER,21.0
2022-10-30,WIND SPEEDER,25.0
2022-12-11,WIND SPEEDER,42.0
2023-02-15,WIND SPEEDER,66.0
2023-03-08,WIND SPEEDER,21.0
2023-03-22,WIND SPEEDER,14.0
2023-04-12,WIND SPEEDER,21.0
2023-05-31,WIND SPEEDER,49.0
2023-06-28,WIND SPEEDER,28.0
2023-09-13,WIND SPEEDER,77.0
2023-10-11,WIND SPEEDER,28.0
2023-11-01,WIND SPEEDER,21.0
2023-11-22,WIND SPEEDER,21.0
2023-12-20,WIND SPEEDER,28.0
2023-12-29,WIND SPEEDER,9.0
2024-01-31,WIND SPEEDER,33.0
2024-02-15,WIND SPEEDER,15.0
2024-03-06,WIND SPEEDER,20.0
2024-03-20,WIND SPEEDER,14.0
2024-04-24,WIND SPEEDER,35.0
2024-05-15,WIND SPEEDER,21.0
2024-06-15,WIND SPEEDER,31.0
2024-09-11,WIND SPEEDER,88.0
2024-09-25,WIND SPEEDER,14.0
2024-11-06,WIND SPEEDER,42.0
2024-11-27,WIND SPEEDER,21.0
2024-12-04,WIND SPEEDER,7.0
2024-12-11,WIND SPEEDER,7.0
2024-12-29,WIND SPEEDER,18.0
2024-01-07,WINDCHEATER,999.0
2024-02-12,WINDCHEATER,36.0
2024-03-03,WINDCHEATER,20.0
2024-03-16,WINDCHEATER,13.0
2023-10-01,WINDICATOR FAMILY,999.0
2023-10-18,WINDICATOR FAMILY,17.0
2023-11-15,WINDICATOR FAMILY,28.0
2023-12-10,WINDICATOR FAMILY,25.0
2023-12-26,WINDICATOR FAMILY,16.0
2024-01-13,WINDICATOR FAMILY,18.0
2024-03-03,WINDICATOR FAMILY,50.0
2024-03-27,WINDICATOR FAMILY,24.0
2024-04-10,WINDICATOR FAMILY,14.0
2024-05-05,WINDICATOR FAMILY,25.0
2024-06-23,WINDICATOR FAMILY,49.0
2024-07-14,WINDICATOR FAMILY,21.0
2024-11-03,WINDICATOR FAMILY,112.0
2024-11-20,WINDICATOR FAMILY,17.0
2024-12-26,WINDICATOR FAMILY,36.0
2022-09-28,WINE AND WINE,999.0
2022-10-19,WINE AND WINE,21.0
2022-11-06,WINE AND WINE,18.0
2022-11-30,WINE AND WINE,24.0
2023-02-19,WINGS OF WAR,999.0
2023-03-26,WINGS OF WAR,35.0
2023-04-06,WINGS OF WAR,11.0
2023-05-03,WINGS OF WAR,27.0
2023-06-04,WINGS OF WAR,32.0
2023-07-06,WINGS OF WAR,32.0
2023-11-26,WINGS OF WAR,143.0
2023-12-23,WINGS OF WAR,27.0
2024-01-07,WINGS OF WAR,15.0
2024-02-07,WINGS OF WAR,31.0
2024-02-28,WINGS OF WAR,21.0
2024-03-20,WINGS OF WAR,21.0
2024-04-17,WINGS OF WAR,28.0
2024-05-08,WINGS OF WAR,21.0
2024-06-05,WINGS OF WAR,28.0
2024-10-09,WINGS OF WAR,126.0
2024-12-08,WINGSPAN,999.0
2022-09-11,WINNER METHOD,999.0
2022-09-25,WINNER METHOD,14.0
2022-10-09,WINNER METHOD,14.0
2022-11-20,WINNER METHOD,42.0
2022-12-24,WINNER METHOD,34.0
2023-01-15,WINNER METHOD,22.0
2023-02-19,WINNER METHOD,35.0
2023-03-11,WINNER METHOD,20.0
2023-04-23,WINNER METHOD,43.0
2023-05-13,WINNER METHOD,20.0
2023-06-04,WINNER METHOD,22.0
2023-06-18,WINNER METHOD,14.0
2023-07-01,WINNER METHOD,13.0
2023-09-10,WINNER METHOD,71.0
2023-09-27,WINNER METHOD,17.0
2023-11-19,WINNER METHOD,53.0
2023-12-03,WINNER METHOD,14.0
2024-01-07,WINNER METHOD,35.0
2023-05-07,WINNING DATA,999.0
2023-05-28,WINNING DATA,21.0
2023-06-25,WINNING DATA,28.0
2023-09-17,WINNING DATA,84.0
2023-09-27,WINNING DATA,10.0
2023-11-05,WINNING DATA,39.0
2023-12-10,WINNING DATA,35.0
2024-01-07,WINNING DATA,28.0
2024-02-12,WINNING DATA,36.0
2024-03-31,WINNING DATA,48.0
2024-04-14,WINNING DATA,14.0
2024-05-26,WINNING DATA,42.0
2024-06-12,WINNING DATA,17.0
2024-05-19,WINNING DAY,999.0
2023-05-03,WINNING DELAGO,999.0
2023-06-28,WINNING DELAGO,56.0
2022-09-25,WINNING DRAGON,999.0
2022-10-19,WINNING DRAGON,24.0
2022-11-16,WINNING DRAGON,28.0
2022-12-07,WINNING DRAGON,21.0
2022-12-28,WINNING DRAGON,21.0
2023-01-11,WINNING DRAGON,14.0
2023-02-26,WINNING DRAGON,46.0
2023-04-06,WINNING DRAGON,39.0
2023-04-19,WINNING DRAGON,13.0
2023-05-03,WINNING DRAGON,14.0
2023-05-24,WINNING DRAGON,21.0
2023-06-14,WINNING DRAGON,21.0
2023-07-12,WINNING DRAGON,28.0
2023-09-20,WINNING DRAGON,70.0
2023-10-11,WINNING DRAGON,21.0
2023-11-15,WINNING DRAGON,35.0
2024-01-04,WINNING DRAGON,50.0
2024-01-31,WINNING DRAGON,27.0
2024-02-21,WINNING DRAGON,21.0
2024-03-06,WINNING DRAGON,14.0
2024-04-10,WINNING DRAGON,35.0
2024-05-01,WINNING DRAGON,21.0
2024-05-15,WINNING DRAGON,14.0
2024-05-26,WINNING DRAGON,11.0
2024-06-08,WINNING DRAGON,13.0
2024-06-23,WINNING DRAGON,15.0
2024-09-28,WINNING DRAGON,97.0
2024-10-13,WINNING DRAGON,15.0
2024-11-17,WINNING DRAGON,35.0
2024-12-29,WINNING DRAGON,42.0
2022-09-11,WINNING DREAMER,999.0
2022-10-09,WINNING DREAMER,28.0
2022-11-20,WINNING DREAMER,42.0
2023-01-01,WINNING DREAMER,42.0
2023-01-24,WINNING DREAMER,23.0
2023-02-19,WINNING DREAMER,26.0
2023-03-19,WINNING DREAMER,28.0
2023-04-15,WINNING DREAMER,27.0
2023-05-07,WINNING DREAMER,22.0
2024-01-13,WINNING GOLD,999.0
2024-01-28,WINNING GOLD,15.0
2024-02-18,WINNING GOLD,21.0
2024-04-14,WINNING GOLD,56.0
2024-05-11,WINNING GOLD,27.0
2024-10-01,WINNING GOLD,143.0
2024-10-20,WINNING GOLD,19.0
2024-11-24,WINNING GOLD,35.0
2024-12-29,WINNING GOLD,35.0
2022-12-04,WINNING HEART,999.0
2023-01-01,WINNING HEART,28.0
2023-07-12,WINNING HEART,192.0
2023-11-15,WINNING HEART,126.0
2023-11-29,WINNING HEART,14.0
2023-12-20,WINNING HEART,21.0
2023-12-29,WINNING HEART,9.0
2024-01-13,WINNING HEART,15.0
2024-01-28,WINNING HEART,15.0
2024-02-12,WINNING HEART,15.0
2024-02-25,WINNING HEART,13.0
2024-03-13,WINNING HEART,17.0
2024-03-27,WINNING HEART,14.0
2024-04-10,WINNING HEART,14.0
2024-04-24,WINNING HEART,14.0
2024-05-15,WINNING HEART,21.0
2024-06-08,WINNING HEART,24.0
2024-07-01,WINNING HEART,23.0
2024-09-28,WINNING HEART,89.0
2024-10-09,WINNING HEART,11.0
2024-10-27,WINNING HEART,18.0
2024-11-06,WINNING HEART,10.0
2024-11-20,WINNING HEART,14.0
2024-12-04,WINNING HEART,14.0
2024-12-26,WINNING HEART,22.0
2022-09-14,WINNING ICEY,999.0
2022-09-28,WINNING ICEY,14.0
2022-10-30,WINNING ICEY,32.0
2022-11-27,WINNING ICEY,28.0
2022-12-21,WINNING ICEY,24.0
2023-02-01,WINNING ICEY,42.0
2023-02-15,WINNING ICEY,14.0
2023-03-08,WINNING ICEY,21.0
2023-04-06,WINNING ICEY,29.0
2023-05-10,WINNING ICEY,34.0
2023-06-14,WINNING ICEY,35.0
2024-01-04,WINNING ICEY,204.0
2024-01-13,WINNING ICEY,9.0
2024-02-21,WINNING ICEY,39.0
2024-04-03,WINNING ICEY,42.0
2024-05-15,WINNING ICEY,42.0
2024-05-26,WINNING ICEY,11.0
2024-11-03,WINNING LION,999.0
2022-11-12,WINNING METHOD,999.0
2022-11-27,WINNING METHOD,15.0
2023-01-15,WINNING METHOD,49.0
2023-01-29,WINNING METHOD,14.0
